ML TD Type,ML Pipeline Stage,Principal_Component
MDepend,Training,1.7014007348832316
Data Conf,Modeling,1.342523717863677
MCM,Prediction,1.330290990284875
UMC,Evaluation,1.1651158415025442
UMC,Data Acq,0.8958473078463232
MCM,Other,0.63583070648539
MCR,Data Acq,0.4287878136652987
Proto,Data Acq,0.346506981187604
MDepend,Data Pre,0.3097989596271674
MCM,Data Acq,0.3060772272452745
CDT,Data Acq,0.2251713879038817
UMC ,Other,0.152904540815162
Layer Conf,Modeling,0.1468660532609064
UMC ,Data Pre,0.1180148114389388
DS Configuration,Data Pre,0.0927066851907545
MCM,Modeling,0.0792973887185135
UMC,Modeling,0.048027904085973516
MLKnow,Training,0.017444538334707105
DS Configuration,Other,0.013326235298773081
CDT,Training,-0.0493964282214045
Data Conf,Training,-0.05681562656363859
Proto,Data Pre,-0.0650908723873924
Data Conf,Evaluation,-0.1012834393371717
HP Conf,Modeling,-0.1050146731680935
Proto,Training,-0.1111898908363413
MLKnow,Other,-0.1263119968135372
MCR,Modeling,-0.1384004304880303
UMC ,Data Acq,-0.1405109667115106
MCC,Modeling,-0.144529708667333
MCC,Training,-0.167062432627398
MDepend,Modeling,-0.17281076488070068
Data Conf,Prediction,-0.1893908432159911
MLInter,Modeling,-0.205031606339715
UMC,Training,-0.2095646156440584
Data Conf,Data Acq,-0.2134053263620263
UMC ,Modeling,-0.2197168171416798
MCC,Data Pre,-0.2199011355781913
Data Conf,Other,-0.22268644963117698
MLKnow,Evaluation,-0.2361248472814508
HP Conf,Training,-0.24240031262194056
Proto,Modeling,-0.245293749606301
CDT,Other,-0.2512915287624523
UMC,Data Pre,-0.2590688399728464
Weight Conf,Modeling,-0.269172609885943
MLKnow,Modeling,-0.3031765808686618
CDT,Data Pre,-0.3037120735816863
MDepend,Data Acq,-0.305965770581072
Layer Conf,Training,-0.3763395628839057
Weight Conf,Training,-0.377180671950146
DS Configuration,Training,-0.3823918524002271
Data Conf,Data Pre,-0.4082205388731338
MCR,Training,-0.4701546185424773
DS Configuration,Data Acq,-0.5371094051485408
MLKnow,Data Pre,-1.5302228380628191
