Repo Type,Repo Name,Filename,ML TD Type,ML Pipeline Stage,NLC,CS,TFI,ANL,ANC,AVT,AVM
Application,GilesStrong/lumin,lumin/nn/interpretation/features.py,MLInter,Modeling,14,97,477,121,19,990.5,2.5
Application,roscisz/TensorHive,tensorhive/controllers/reservation/update_reservation_controller.py,DS Configuration,Other,8,55,602,36,8,288,2
Tool,gunthercox/ChatterBot,chatterbot/algorithms/engram.py,MLKnow,Data Pre,25,3,53,25.5,8.5,149,1.5
Application,PratikBarhate/question-classification,qc/dataprep/feature_stack.py,MDepend,Data Acq,19,3,32,12,1,147.5,1
Application,rmalav15/Super-SloMo,data_loader.py,Data Conf,Data Acq,325,3,14,124.5,34,1042,13
Application,xinshuoweng/Xinshuo_PyToolbox,xinshuo_images/python/image_processing.py,Data Conf,Data Pre,184,3,321,307.5,100,3196.5,18
Application,mpkuse/cartwheel_train,CustomNets.py,UMC,Data Acq,270,6,22,272.5,43,3076.5,2
Application,comtravo/ctparse,ctparse/partial_parse.py,Data Conf,Data Pre,20,5,102,109.5,29,764.5,7
Application,deep-fry/mayo,mayo/task/image/generate.py,MCR,Training,19,2,324,116,19,1018,3
Application,pyro-ppl/funsor,funsor/tensor.py,MCR,Data Acq,31,48,788,849,232,7091.5,5
Application,pyro-ppl/funsor,funsor/domains.py,Proto,Data Acq,44,10,810,243.5,71,1709.5,6
Application,sorgerlab/indra,indra/literature/s3_client.py,Data Conf,Data Acq,50,4,1167,210,52,1336,2
Application,sorgerlab/indra,indra/sources/ndex_cx/processor.py,MCR,Data Acq,200,2,1324,127.5,34.5,847,13
Application,pescadores/pescador,pescador.py,MCR,Modeling,4,1,4,173,47,1137,6
Application,mozilla/bugbug,scripts/commit_classifier.py,UMC ,Other,8,26,602,595,102,3544.5,3
Application,mozilla/bugbug,scripts/test_scheduling_history_retriever.py,DS Configuration,Data Acq,12,11,661,286.5,63,1599,1
Application,Calysto/conx,conx/__init__.py,Weight Conf,Training,329,6,26,107.5,21.5,870,12.5
Application,SMTorg/smt,smt/surrogate_models/surrogate_model.py,Proto,Modeling,34,1,506,87,15,644,0
Application,HewlettPackard/dlcookbook-dlbs,python/pytorch_benchmarks/dataset_factory.py,DS Configuration,Data Acq,294,51,628,185,33,1223.5,11
Application,alan-turing-institute/sktime,sktime/transformers/series_to_series.py,MCR,Training,134,12,165,33.5,10.5,281.5,1
Tool,openml/openml-python,openml/flows/flow.py,CDT,Data Pre,43,3,205,87.5,11.5,478,2.5
Tool,microsoft/NimbusML,src/python/nimbusml/pipeline.py,MCM,Prediction,29,75,2530,1778.5,452.5,10176,26
Tool,menpo/menpo,pybug/transform/modeldriven.py,MLKnow,Modeling,150,12,311,0,0,0,0
Tool,menpo/menpo,menpo/shape/mesh/base.py,MDepend,Modeling,2,3,522,681.5,25.5,4175,0.5
Tool,CPJKU/madmom,madmom/features/beats.py,MCC,Modeling,147,22,179,482,61,3304,6.5
Tool,CPJKU/madmom,madmom/audio/signal.py,MCM,Data Acq,19,3,424,824,153.5,3629,6.5
Tool,nyu-mll/jiant,src/tasks/tasks.py,UMC,Data Acq,625,3,527,1232,224.5,11141,46.5
Tool,scikit-learn-contrib/metric-learn,metric_learn/nca.py,UMC,Training,39,49,261,155.5,9,741,3
Tool,Accenture/AmpliGraph,ampligraph/latent_features/models.py,UMC,Evaluation,54,8,168,1795.5,286,12765.5,14.5
Tool,awslabs/sockeye,sockeye/inference.py,MDepend,Training,933,48,538,1368,194.5,8569,20
Tool,awslabs/sockeye,sockeye/transformer.py,UMC,Modeling,19,2,593,307,33.5,2100.5,2.5
Tool,optuna/optuna,optuna/pruners/hyperband.py,DS Configuration,Data Pre,2,41,1108,141,14.5,586.5,0
Tool,explosion/thinc,thinc/neural/_classes/affine.py,Layer Conf,Modeling,4,86,520,56,11.5,477.5,1
Tool,explosion/thinc,thinc/layers/staticvectors.py,CDT,Other,11,6,640,47,8,512.5,4.5
Tool,chartbeat-labs/textacy,textacy/lang_utils.py,MLKnow,Data Pre,48,52,474,56,8,294.5,0.5
Tool,inspirehep/magpie,magpie/__init__.py,DS Configuration,Training,390,1,45,110,16.5,842,7.5
Tool,IntelPython/sdc,hpat/hiframes_join.py,CDT,Data Acq,331,572,737,455.5,126,3952,9.5
Tool,IntelPython/sdc,hpat/hiframes/boxing.py,MLKnow,Data Pre,126,2,885,280.5,58,2611,12
Tool,IntelPython/sdc,hpat/compiler.py,MLKnow,Data Pre,308,277,1095,123.5,23.5,870.5,8.5
Tool,IntelPython/sdc,hpat/hiframes/pd_dataframe_ext.py,Proto,Data Acq,326,300,1113,587,171.5,5446,13.5
Tool,IntelPython/sdc,sdc/datatypes/hpat_pandas_series_rolling_functions.py,MDepend,Data Pre,82,109,1501,481.5,77.5,2589.5,6
Tool,kornia/kornia,kornia/filters/blur.py,UMC,Data Pre,69,135,1107,79.5,5,251.5,1.5
Tool,Rostlab/nalaf,nala/features/tmvar.py,Data Conf,Data Pre,10,2,65,130.5,49,980,7
Tool,DigitalSlideArchive/HistomicsTK,server/docker_resource.py,Data Conf,Other,501,9,272,183.5,44,1133.5,22.5
Application,pierluigiferrari/ssd_keras,ssd_box_encode_decode_utils.py,Proto,Data Pre,213,11,20,197,31.5,2209,7.5
Application,shenweichen/DeepCTR,deepctr/models/nfm.py,UMC,Modeling,6,1,297,54.5,1,309,1
Application,lmcinnes/umap,umap/umap_.py,MDepend,Training,1,95,168,943.5,137.5,5521,2
Application,lmcinnes/umap,umap/umap_.py,MDepend,Training,1,95,0,943.5,137.5,5521,2
Application,aleju/imgaug,tests/test.py,MDepend,Data Pre,5,,288,0,0,0,0
Application,aleju/imgaug,imgaug/augmentables/bbs.py,Data Conf,Data Pre,11,100,1056,529.5,120,3667,20
Tool,DependableSystemsLab/TensorFI,TensorFI/injectFault.py,Data Conf,Data Pre,6,28,153,831.5,191.5,5241,1.5
Tool,IGITUGraz/L2L,bin/ltl-fun-gs.py,HP Conf,Training,15,11,160,62,1.5,418,1
Application,mdangschat/ctc-asr,python/s_input.py,UMC,Data Acq,25,7,33,100,9,843.5,5.5
Application,Merck/deepbgc,deepbgc/output/antismash_json.py,Data Conf,Other,9,1,260,72,14.5,494.5,5
Application,Neuraxio/Neuraxle,neuraxle/metaopt/random.py,MLKnow,Training,32,33,238,208,31.5,1118,8.5
Application,SimGus/Chatette,src/Generator.py,UMC ,Data Acq,306,74,39,154,40,863,2.5
Application,henrysky/astroNN,astroNN/shared/nn_tools.py,Data Conf,Prediction,117,249,203,103.5,30,817,3.5
Application,araffin/srl-zoo,models/models.py,Layer Conf,Training,49,9,158,243.5,25,1771.5,6
Application,maximecb/gym-miniworld,gym_miniworld/miniworld.py,Data Conf,Data Pre,88,1,189,632,87,4118.5,4.5
Application,drivendataorg/zamba,zamba/models/cnnensemble/src/single_frame_cnn.py,MDepend,Data Pre,82,8,216,592.5,111,4888,4
Application,WMD-group/SMACT,smact/builder.py,MLKnow,Data Pre,42,1,56,105.5,27.5,1014,4
Application,hackingmaterials/automatminer,matbench/preprocess.py,MLKnow,Data Pre,38,4,193,104.5,25,771,3.5
Application,hackingmaterials/automatminer,matbench/pipeline.py,DS Configuration,Training,139,46,235,58.5,4.5,279.5,6
Application,nengo/nengo-dl,nengo_dl/tensor_graph.py,DS Configuration,Other,3,5,363,597,152.5,4406.5,13
Application,NRCan/geo-deep-learning,utils/layersmodules.py,Layer Conf,Training,45,3,212,44,4,372,2
Application,ucam-smt/sgnmt,cam/sgnmt/blocks/vanilla_decoder.py,UMC ,Modeling,181,8,405,79.5,9,582,3.5
Application,OpenNMT/OpenNMT-py,onmt/decoders/decoder.py,Data Conf,Training,95,132,492,270.5,40,1475.5,10
Application,ludwig-ai/ludwig,ludwig/data/preprocessing.py,UMC ,Data Pre,1,9,435,640.5,73,2691,6.5
Application,pyro-ppl/pyro,pyro/infer/search.py,Data Conf,Data Pre,36,12,310,106,24,641.5,10.5
Application,pyro-ppl/pyro,pyro/distributions/planar.py,MCC,Data Pre,33,137,2160,79.5,7.5,433,7
Application,astier/model-free-episodic-control,mfec/utils.py,MLKnow,Data Pre,9,44,16,52.5,8,374.5,1
Application,brendanhasz/probflow,src/probflow/core.py,Data Conf,Training,44,0,93,527,157,3593.5,3
Tool,RaRe-Technologies/gensim,gensim/corpora/csvcorpus.py,Data Conf,Data Pre,96,1,221,45.5,8.5,276.5,6
Tool,BrikerMan/Kashgari,kashgari/tasks/classification/models.py,MCM,Modeling,7,2,162,659,9.5,3860,1
Tool,PetrochukM/PyTorch-NLP,lib/checkpoint.py,Weight Conf,Modeling,7,7,227,41,12.5,334.5,2.5
Tool,yzhao062/pyod,pyod/models/base.py,MCC,Modeling,24,6,208,77,12.5,555,3.5
Tool,raamana/neuropredict,neuropredict/config_neuropredict.py,MLKnow,Evaluation,10,7,214,165.5,1,687.5,0
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/trainer/model_hooks.py,HP Conf,Training,28,309,1376,24.5,7,173,1
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/callbacks/model_checkpoint.py,UMC,Evaluation,46,255,1419,339,65.5,1597,4
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/accelerators/ddp_spawn_backend.py,Data Conf,Training,57,5,1419,108.5,27,931,4
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/accelerators/ddp_cpu_spawn_backend.py,Weight Conf,Training,62,2,1420,25,6,192.5,6
Tool,PyTorchLightning/pytorch-lightning,pytorch_lightning/trainer/connectors/accelerator_connector.py,MLKnow,Training,16,78,2838,470,166,2665.5,1
Tool,kengz/SLM-Lab,slm_lab/env/__init__.py,DS Configuration,Data Acq,177,8,122,120,23,698.5,14.5
Tool,kengz/SLM-Lab,slm_lab/agent/__init__.py,CDT,Training,35,12,238,274.5,61,2010.5,5.5
Tool,kengz/SLM-Lab,slm_lab/agent/algorithm/actor_critic.py,Proto,Training,11,1,445,258,41.5,1629.5,2
Tool,explosion/spaCy,spacy/cli/train.py,MCC,Training,8,3,1943,162.5,39,1130,0.5
Tool,explosion/spaCy,spacy/training/pretrain.py,HP Conf,Modeling,80,40,2062,184,31.5,1404,8.5
Tool,scikit-learn/scikit-learn,scikits/learn/glm.py,UMC,Modeling,103,44,180,507,68,4031,15
Tool,scikit-learn/scikit-learn,scikits/learn/datasets/mlcomp.py,DS Configuration,Data Acq,56,197,454,61,17.5,485,2.5
Tool,scikit-learn/scikit-learn,scikits/learn/decomposition/sparse_pca.py,MLKnow,Other,46,3,745,215,38.5,1540.5,2
Tool,scikit-learn/scikit-learn,sklearn/random_projection.py,MLKnow,Data Pre,177,11,1502,213,21.5,825.5,4
Tool,scikit-learn/scikit-learn,sklearn/model_selection/_search.py,DS Configuration,Data Pre,80,489,5524,1075,90.5,2811,5.5
Tool,plstcharles/thelper,thelper/data/pascalvoc.py,Data Conf,Data Pre,8,118,298,257.5,56,2051,1
Tool,weiHelloWorld/accelerated_sampling_with_autoencoder,MD_simulation_on_alanine_dipeptide/current_work/src/sample_with_classifier.py,Data Conf,Data Pre,5,9,85,121.5,27,1143.5,1
Tool,OpenMined/PySyft,test/torch_test.py,MLKnow,Data Pre,4,3,127,664,54,9526,3.5
Tool,OpenMined/PySyft,syft/core/frameworks/torch/tensor.py,Data Conf,Modeling,24,1,191,1754.5,458.5,13530,3.5
Tool,OpenMined/PySyft,syft/workers/base.py,HP Conf,Training,437,224,1166,737,127.5,3261,11.5
Application,flairNLP/flair,flair/models/sequence_tagger_model.py,UMC,Modeling,9,30,350,688,102.5,4561.5,4
Tool,ray-project/ray,rllib/models/tf/__init__.py,MDepend,Modeling,24,184,5389,5.5,0,30.5,0
Tool,NervanaSystems/neon,neon/layers/layer.py,Layer Conf,Modeling,125,2,349,709.5,171.5,5571,12.5
Application,geomstats/geomstats,geomstats/geometry/general_linear.py,MLKnow,Data Pre,20,30,416,0,0,0,0
Application,Drakkar-Software/OctoBot,trading/trader/trades_manager.py,Data Conf,Data Pre,10,2,218,74.5,17,484,5.5
Application,dipy/dipy,dipy/segment/bundles.py,CDT,Data Pre,68,11,2163,310,48,1850,2
Application,automagica/automagica,automagica/gui/graphs.py,MCM,Other,8,51,206,1152.5,123,8752,13.5
Application,jupyter/nbdime,nbdime/diffing/notebooks.py,Data Conf,Data Pre,7,33,275,77.5,22.5,464.5,1
Application,jupyter/nbdime,nbdime/merging/generic.py,MLKnow,Data Pre,413,3,233,278,97.5,2159,4.5
Application,pyannote/pyannote-audio,pyannote/audio/pipeline/speaker_diarization.py,Data Conf,Evaluation,413,111,412,152.5,19,909,11
Application,mne-tools/mne-python,mne/io/kit/kit.py,Data Conf,Data Pre,44,1,3613,578.5,75.5,4193.5,1
Application,mne-tools/mne-python,mne/io/ctf/trans.py,MLKnow,Data Pre,82,1768,5149,105.5,40.5,1160.5,3
